timestamp,trial_id,stimulus_side,norm_iris_x,norm_iris_y
1776188060.4290934,1,none,0.06123198885936193,0.3190837700091471
1776188060.4522836,1,none,0.043061826305230255,0.11924579173467109
1776188060.4792135,1,none,0.01203149153545624,0.0705023584025326
1776188060.5108068,1,none,0.032363381725613705,0.0596884241101574
1776188060.5445294,1,none,0.0133511977770846,0.02310673440636979
1776188060.5755312,1,none,0.015903192292520796,0.07915703176197986
1776188060.6100302,1,none,0.015334205516489674,0.03917108214620546
1776188060.6398258,1,none,0.028741576105694278,0.07943379589987054
1776188060.6744423,1,none,-0.005693846525413271,0.06210387520556193
1776188060.7221656,1,none,0.00829820823753269,0.03430598934764029
1776188060.752756,1,none,0.02541199496816393,0.03187988566961186
1776188060.7837584,1,none,0.027219520506897243,0.04545325252187371
1776188060.8410094,1,none,0.013274372950807356,0.04165920139225121
1776188060.8681436,1,none,0.007969431014911543,0.0494249443783521
1776188060.8898008,1,none,0.0011529003493475631,0.047293153148616596
1776188060.9148667,1,none,0.03740940084831279,0.078730121574075
1776188060.9440248,1,none,0.0049460809719781285,0.043717317856771576
1776188060.9766898,1,none,0.030442701690719165,-0.008370859709690537
1776188061.0085206,1,none,0.020856708448453998,0.011084938046309611
1776188061.0680196,1,none,0.03898681529156922,0.08096115328173892
1776188061.094375,1,none,0.022641892401126906,0.02930517587589332
1776188061.122415,1,none,0.008255286394705852,0.04539091755115077
1776188061.1439404,1,none,0.023941677635215486,0.04224661452225187
1776188061.1845412,1,none,0.013735853279953969,0.04204079708699349
1776188061.2167559,1,none,0.003228337018938099,-0.007816328431806907
1776188061.247185,1,none,0.0006075651925238068,0.04905425463573332
1776188061.279661,1,none,0.020559645265393778,-0.003628611490472
1776188061.3125818,1,none,0.03738535820501465,0.034062210097749235
1776188061.3523066,1,none,0.011558197024192252,0.014899253189044392
1776188061.382332,1,none,0.014012335019811806,0.06267686451990451
1776188061.41089,1,none,0.021509264017951724,0.012476802665970066
1776188061.4407055,1,none,0.017383036306802824,0.0026565714237563043
1776188061.513706,1,none,0.027453567442662585,-0.005373860177200096
1776188061.543548,1,none,0.0202010366410188,-0.04208320129694665
1776188061.5753474,1,none,0.024646774786363013,0.02094702696229911
1776188061.621563,1,none,0.04130184311071039,-0.01845420152918953
1776188061.655552,1,none,0.03799968442237933,0.011892521194560968
1776188061.6920698,1,none,0.02385804810895542,-0.014098622882893319
1776188061.7257612,1,none,0.017886960825888365,-0.04853334880271731
1776188061.7601714,1,none,0.03550957099226798,0.023139536546143313
1776188061.7957528,1,none,0.009938361099213977,0.032985144728889026
1776188061.8306956,1,none,0.02702892251759148,-0.01553586053702749
1776188061.8672154,1,none,0.052008549359207956,0.02098132715329526
1776188061.900845,1,none,0.030511995351229226,0.02385662600727223
1776188061.930806,1,none,0.01836537285557238,-0.008588708479121188
1776188061.9661531,1,left,0.0070779223463578456,0.005125593591087219
1776188061.9956815,1,left,0.00013704093647792792,0.02089456859736205
1776188062.0192668,1,left,0.021934152374868288,0.0017171814989189738
1776188062.04109,1,left,0.015897864535964645,0.024633709802807102
1776188062.0830824,1,left,0.02600074476510683,0.028953182317508985
1776188062.1162255,1,left,0.03331252090864523,0.002538817454117659
1776188062.1544483,1,left,0.041915297501205706,-0.0008475313700102571
1776188062.1835995,1,left,0.028965517169459498,0.033250370039442645
1776188062.2090342,1,left,0.01180793770271582,0.011155292523137295
1776188062.240434,1,left,0.03358551541885585,-0.009869878341989047
1776188062.2736077,1,left,0.01376587985170763,-0.009476754958322897
1776188062.3053386,1,left,0.029610308034013988,0.00909822218353351
1776188062.3362675,1,left,0.02108748602588384,0.01451570653596912
1776188062.3683453,1,left,0.0042560584112595334,0.03015930744556783
1776188062.4014225,1,left,0.012584576713165152,0.030445338848329673
1776188062.4350471,1,left,0.020120665465038323,0.0037237886997580905
1776188062.467006,1,left,0.031396894396193475,0.01908421382845249
1776188062.4985497,1,left,0.00524017594606041,0.02824978286310109
1776188062.5447605,1,left,0.0191575015896559,0.006987415727238044
1776188062.579367,1,left,0.026084961290129605,0.05534360025244156
1776188062.6073852,1,left,0.022931812001977248,0.01597799528499333
1776188062.6397913,1,left,0.013448740786860647,-0.012787099283805503
1776188062.6749184,1,left,0.022593802965142462,-0.005435018469650332
1776188062.7058067,1,left,0.013491337716276197,0.007842398618156832
1776188062.736163,1,left,0.007402901580340182,0.04972965078955416
1776188062.7703786,1,left,0.001716560468875139,0.024549841886344903
1776188062.8021114,1,left,0.04008723374048717,0.06256868736862398
1776188062.8321655,1,left,0.03355518014893555,0.06568411325844525
1776188062.8642063,1,left,0.017719497676320417,0.043193667066524166
1776188062.8995252,1,left,0.01664700452854795,0.025514935255203874
1776188062.928128,1,left,0.01849461195608515,0.033012753125540195
1776188062.9597154,1,left,0.03897705305432009,0.051602319342304526
1776188063.0104635,1,left,0.0127627264646053,0.016735715776026616
1776188063.0423012,1,left,0.02388843671574392,0.08847853124100757
1776188063.073475,1,left,0.030833399947514217,0.04777982939630632
1776188063.1036155,1,left,0.016828224631162736,0.005040188009577173
1776188063.1369967,1,left,0.0063075231328459935,0.056345307579907966
1776188063.1670837,1,left,0.03479381894205935,0.06546250625085848
1776188063.1998196,1,left,0.022234988845229564,0.046338573163457575
1776188063.2347054,1,left,0.020051786784521686,0.07139406581755281
1776188063.2664566,1,left,0.030285770502539777,0.057780702497371106
1776188063.2954066,1,left,0.019636553471272578,0.05137454299178512
1776188063.3272936,1,left,0.013545430413379855,0.04858304488535592
1776188063.3613315,1,left,0.03943423987222261,0.028474313320010047
1776188063.3931859,1,left,0.022140972310784046,0.02675248292525212
1776188063.442045,1,left,0.045375560911302515,0.07564430918503351
1776188063.4752178,1,left,0.0233391858283033,-0.011214528551496405
1776188063.5061862,1,left,0.02581926755918107,0.04987175534047372
1776188063.53881,1,left,0.014824467465564428,0.027120338885543105
1776188063.5696871,1,left,0.022636411409856616,0.031254630052025556
1776188063.6024296,1,left,0.030569688574396348,-0.008160425550779782
1776188063.6329858,1,left,0.011969297867288287,0.02709057217867561
1776188063.6655095,1,left,0.03514175124718877,0.029871198018350587
1776188063.6945183,1,left,0.01807716593158637,0.06878298276295358
1776188063.7280893,1,left,0.028262761349047594,0.05273333846617789
1776188063.7617311,1,left,0.021237810284264524,0.052307023590028034
1776188063.792257,1,left,0.021805645073087132,0.011060458222615588
1776188063.8233395,1,left,0.030542008524236053,-0.019560894122717887
1776188063.856895,1,left,0.021276595765955864,0.02249631219836079
1776188063.9052014,1,left,0.020326235367441825,0.02615243079346441
1776188063.9370663,1,left,0.03107574587384926,0.016317844042885943
1776188063.9691207,1,left,0.03704731227484653,0.09664300345439059
1776188064.2955277,2,none,0.022753991056321254,0.002505361833740949
1776188064.3208606,2,none,0.032586760777965185,0.02322023052838107
1776188064.3665006,2,none,0.032132997644226335,0.04352597678100567
1776188064.399083,2,none,0.03492569644940868,0.03666434806428032
1776188064.4324303,2,none,0.021232982581399718,-0.0014934577389886794
1776188064.4684536,2,none,0.029686533169378193,0.004632476403328645
1776188064.497713,2,none,0.023904999593498233,0.040719574002201275
1776188064.525867,2,none,0.03971200009718023,0.03636099182002983
1776188064.564459,2,none,0.014121326647219878,0.045791547089335305
1776188064.5945659,2,none,0.02999397808986448,0.014487093814962382
1776188064.6276333,2,none,0.020950303973447548,0.02072465548635205
1776188064.658169,2,none,0.02224863044516212,0.024229318764238617
1776188064.6881335,2,none,0.02422609562328104,0.006258398282906419
1776188064.719558,2,none,0.03494549922418311,0.05818777547977616
1776188064.7521389,2,none,0.031939476477114204,0.0372954559524179
1776188064.8040426,2,none,0.018968691430134244,0.022887936672362663
1776188064.8351018,2,none,0.0026949607696504785,0.011087276046663597
1776188064.8668375,2,none,0.019683882515777573,0.018848485264486126
1776188064.8998022,2,none,0.013994224225848173,0.020317927813783387
1776188064.9311388,2,none,0.030126940928509316,-0.0243882595151228
1776188064.9617317,2,none,0.030878976992393725,0.009653926807159818
1776188064.9932568,2,none,0.016790792497204943,0.015331073865697653
1776188065.0269566,2,none,0.011183361746448184,0.0375908229453672
1776188065.057102,2,none,0.018166832807910982,0.017494399104796
1776188065.0933812,2,none,0.01904515712791599,0.021436905138920936
1776188065.1261122,2,none,0.018048508088774118,0.006895563418802597
1776188065.1535485,2,none,0.00068969405870134,0.030100625869775244
1776188065.1886144,2,none,0.0195362281352649,0.028697786088087374
1776188065.2188137,2,none,0.021003117939671134,0.014112201730920093
1776188065.26701,2,none,0.004163359544014034,-0.012812566781798651
1776188065.2940385,2,none,0.005508505031935784,0.03909308559779301
1776188065.3288233,2,none,0.007909440586492789,0.03755226238144316
1776188065.3618279,2,none,0.014889388395248337,0.033819869867440455
1776188065.393887,2,none,0.0049309697387558415,0.01193362400809539
1776188065.422902,2,none,0.021007808464022615,0.02959337473400203
1776188065.4564521,2,none,0.020038912514486862,-0.01671124592219919
1776188065.4935663,2,none,0.0013370761424070787,0.012285886085695363
1776188065.5215697,2,none,0.01989175225431028,-0.01807885442630064
1776188065.5552282,2,none,0.010777264811595355,0.04087327126779883
1776188065.5837436,2,none,0.008956729666907526,0.03301830750733303
1776188065.619975,2,none,0.019537493268979023,-0.004968769473897572
1776188065.649518,2,none,0.010300104239182595,-0.010190028912682503
1776188065.6821532,2,none,0.008210538894588892,0.00204797683577318
1776188065.7304502,2,none,0.011037778687891686,0.005297733411175898
1776188065.7635615,2,none,0.007553455968693723,0.06934976002566517
1776188065.7920659,2,none,0.017559685317540263,0.04233191730513275
1776188065.8266134,2,right,0.018856522960891464,0.019653243146031785
1776188065.8566551,2,right,0.010622398565266922,-0.03464603614466677
1776188065.8902805,2,right,0.030180310774748587,0.015688292571676143
1776188065.921873,2,right,0.0062221633893548844,0.04404695769543676
