timestamp_s,trial_id,phase,stimulus_side,norm_x,norm_y,raw_lx,raw_ly,face_detected
1777402314.7098122,1,fixation,none,0.0015910420965755678,-0.02874124756644325,0.37116934061050416,0.4986381530761719,True
1777402314.7741342,1,fixation,none,-0.0007116283214769759,-0.06298326922122832,0.37166101932525636,0.4880676567554474,True
1777402314.8375106,1,fixation,none,-0.01235670541952516,-0.06920325017016538,0.37135820388793944,0.4833755731582642,True
1777402314.9003348,1,fixation,none,-0.014931357780671561,-0.07143242703970554,0.3710802376270294,0.48167824149131777,True
1777402314.965717,1,fixation,none,-0.006132585190825601,-0.03567191126743918,0.36762412190437316,0.48405370116233826,True
1777402315.0445502,1,fixation,none,-0.005650949208670708,-0.008596018322121202,0.36592419147491456,0.48629229664802553,True
1777402315.1100974,1,fixation,none,-0.010221429152719619,-0.008110531856813763,0.3652217507362366,0.48840362429618833,True
1777402315.172593,1,fixation,none,-0.01259436689625515,-0.005066036577051181,0.3654393970966339,0.4899657845497131,True
1777402315.2382162,1,fixation,none,-0.013376061847354515,0.02781285870039074,0.3658573865890503,0.49232097864151003,True
1777402315.3017082,1,fixation,none,-0.017292211378355682,0.033522164062982696,0.36573411226272584,0.4938276410102844,True
1777402315.3661516,1,fixation,none,-0.012153041996477487,0.03878599614646028,0.36655691266059875,0.49403526186943053,True
1777402315.4291813,1,fixation,none,-0.01191011373379336,-0.00560882126224016,0.3680046617984772,0.488867861032486,True
1777402315.4929738,1,fixation,none,-0.011502607610790139,-0.057362977667002824,0.3691141366958618,0.4851997435092926,True
1777402315.5765562,1,fixation,none,-0.007449102923360762,-0.07408490968887849,0.3703588366508484,0.48191348910331727,True
1777402315.6389778,1,fixation,none,-0.00977424073572708,-0.08893309191617227,0.37181702852249143,0.4801279783248901,True
1777402315.702217,1,fixation,none,-0.00849717496750535,-0.07758387440009651,0.37242441773414614,0.48002763390541076,True
1777402315.7658305,1,fixation,none,-0.011706101593417229,-0.06956041372956068,0.3730200707912445,0.47903397083282473,True
1777402315.8285995,1,fixation,none,-0.00878836221191226,-0.07803282998597227,0.3732582092285156,0.47860422134399416,True
1777402315.894103,1,fixation,none,-0.010299599376078272,-0.07635948626433464,0.372928261756897,0.47924277782440183,True
1777402315.9568763,1,fixation,none,-0.009014886295325542,-0.06855987201371982,0.3725197672843933,0.48018816113471985,True
1777402316.0234103,1,fixation,none,-0.0161782797858262,-0.06315384430271709,0.3716596484184265,0.48173893690109254,True
1777402316.1046944,1,fixation,none,-0.013552078319964078,-0.04163425271709664,0.3702057123184204,0.4838966906070709,True
1777402316.165994,1,fixation,none,-0.008750797966609158,-0.03844730363001181,0.3688614845275879,0.4853354036808014,True
1777402316.2292426,1,fixation,none,-0.0056642373700146464,-0.05367051893080077,0.36683000922203063,0.48562673330307005,True
1777402316.2945585,1,fixation,none,0.0023030278395557158,-0.020107576477150113,0.36535291075706483,0.48764499425888064,True
1777402316.357802,1,fixation,none,-0.005481222895117321,-0.04613963980369684,0.3612867176532745,0.48731809258461,True
1777402316.4222846,1,fixation,none,-0.006309817531611639,-0.061668211050434296,0.35878880620002745,0.4850524187088013,True
1777402316.4880364,1,fixation,none,-0.01026857231249756,-0.07622180241399612,0.3580657184123993,0.485569155216217,True
1777402316.5513587,1,fixation,none,-0.009027293147711002,-0.06353131454280248,0.3576205730438232,0.4863130271434784,True
1777402316.6306698,1,fixation,none,-0.006807896118958823,-0.07636487818364368,0.35736364126205444,0.4859618365764618,True
1777402316.6943932,1,fixation,none,-0.0065020617730258135,-0.06868790772784372,0.35762840509414673,0.48633483052253723,True
1777402316.7575674,1,fixation,none,-0.008532675231224918,-0.07176245899407596,0.35806556344032286,0.4865578830242157,True
1777402316.8226478,1,fixation,none,-0.012616763736388314,-0.0489338848313029,0.3585235893726349,0.48661481142044066,True
1777402316.8875763,1,fixation,none,-0.01068821286644639,-0.05521519188081414,0.35917781591415404,0.4883727729320526,True
1777402316.9500206,1,fixation,none,-0.013748818274252006,-0.04567531547980952,0.3593349516391754,0.4911314070224762,True
1777402317.0123136,1,fixation,none,-0.013194273823489366,-0.05014996636078983,0.3601610779762268,0.49267649054527285,True
1777402317.0771375,1,fixation,none,-0.010326529155276876,-0.047345841204004424,0.36061524152755736,0.49374324083328247,True
1777402317.1593819,1,fixation,none,-0.009058167516694637,-0.042765176002902416,0.3616779029369354,0.4938035011291504,True
